src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,system_process_pid,system_process_name
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,42984,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,0,2,164,1.70E+12,1.70E+12,0,1,74,1.70E+12,1.70E+12,0,1,90,DNS,Network,0,6,s.cs2-aipn.com,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,42984,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,0,2,172,1.70E+12,1.70E+12,0,1,78,1.70E+12,1.70E+12,0,1,94,DNS,Network,0,6,s.cs2-aipn.com,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,49864,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7002,4,296,1.70E+12,1.70E+12,7002,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,49864,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7002,4,312,1.70E+12,1.70E+12,7002,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38116,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7003,4,296,1.70E+12,1.70E+12,7003,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38116,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7003,4,312,1.70E+12,1.70E+12,7003,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,39646,54.254.195.28,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7003,4,296,1.70E+12,1.70E+12,7003,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,39646,54.254.195.28,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7003,4,312,1.70E+12,1.70E+12,7003,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44986,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7003,4,296,1.70E+12,1.70E+12,7003,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44986,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7003,4,312,1.70E+12,1.70E+12,7003,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,49872,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7000,4,296,1.70E+12,1.70E+12,7000,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,49872,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7000,4,312,1.70E+12,1.70E+12,7000,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44996,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7002,4,296,1.70E+12,1.70E+12,7002,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44996,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7002,4,312,1.70E+12,1.70E+12,7002,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50924,54.84.37.235,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7009,4,296,1.70E+12,1.70E+12,7009,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50924,54.84.37.235,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7009,4,312,1.70E+12,1.70E+12,7009,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
