src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,55786,44.202.21.51,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,763,10,672,1.6987E+12,1.6987E+12,763,6,372,1.6987E+12,1.6987E+12,535,4,300,TLS,Web,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,55786,44.202.21.51,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,763,10,712,1.6987E+12,1.6987E+12,763,6,396,1.6987E+12,1.6987E+12,535,4,316,TLS,Web,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,51234,142.250.77.170,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,13,3,198,1.6987E+12,1.6987E+12,13,2,132,1.6987E+12,1.6987E+12,0,1,66,TLS,Web,1,1,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,51234,142.250.77.170,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,13,3,210,1.6987E+12,1.6987E+12,13,2,140,1.6987E+12,1.6987E+12,0,1,70,TLS,Web,1,1,,,,,
192.168.6.173,ec:9b:8b:02:24:38,ec:9b:8b,37414,1.0.0.1,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,18,2,176,1.6987E+12,1.6987E+12,0,1,80,1.6987E+12,1.6987E+12,0,1,96,DNS,Network,0,6,connectpanasonic.com,,,,
192.168.6.173,ec:9b:8b:02:24:38,ec:9b:8b,37414,1.0.0.1,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,18,2,184,1.6987E+12,1.6987E+12,0,1,84,1.6987E+12,1.6987E+12,0,1,100,DNS,Network,0,6,connectpanasonic.com,,,,
192.168.5.115,ec:9b:8b:02:24:38,ec:9b:8b,44908,142.251.175.188,52:54:00:c2:9a:03,52:54:00,5228,6,4,0,1.6987E+12,1.6987E+12,0,1,74,1.6987E+12,1.6987E+12,0,1,74,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,
192.168.5.115,ec:9b:8b:02:24:38,ec:9b:8b,44908,142.251.175.188,52:54:00:c2:9a:03,52:54:00,5228,6,4,2,1.6987E+12,1.6987E+12,0,1,78,1.6987E+12,1.6987E+12,0,1,78,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,60315,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,203,3,359,1.6987E+12,1.6987E+12,92,2,170,1.6987E+12,1.6987E+12,0,1,189,DNS.Xbox,Network,0,6,dlassets-ssl.xboxlive.com,,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,60315,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,203,3,371,1.6987E+12,1.6987E+12,92,2,178,1.6987E+12,1.6987E+12,0,1,193,DNS.Xbox,Network,0,6,dlassets-ssl.xboxlive.com,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,39325,216.239.36.135,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,60,4,328,1.6987E+12,1.6987E+12,60,2,165,1.6987E+12,1.6987E+12,29,2,163,TLS,Web,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,39325,216.239.36.135,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,60,4,344,1.6987E+12,1.6987E+12,60,2,173,1.6987E+12,1.6987E+12,29,2,171,TLS,Web,0,6,,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,56270,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,1,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,56270,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,1,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,45562,144.24.146.96,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,45562,144.24.146.96,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,
